Province/State,Country/Region,Date,Metric,Count
"Puerto Rico","US",2020-03-15,Confirmed,5
"Wyoming","US",2020-03-15,Confirmed,3
"New Brunswick","Canada",2020-03-15,Confirmed,2
"Saskatchewan","Canada",2020-03-15,Confirmed,2
"Newfoundland and Labrador","Canada",2020-03-15,Confirmed,1
"Prince Edward Island","Canada",2020-03-15,Confirmed,1
"Alaska","US",2020-03-15,Confirmed,1
"North Dakota","US",2020-03-15,Confirmed,1
"West Virginia","US",2020-03-15,Confirmed,0
"New York","US",2020-03-16,Confirmed,967
"Washington","US",2020-03-16,Confirmed,904
"California","US",2020-03-16,Confirmed,557
"Massachusetts","US",2020-03-16,Confirmed,197
"New Jersey","US",2020-03-16,Confirmed,178
"Ontario","Canada",2020-03-16,Confirmed,177
"Colorado","US",2020-03-16,Confirmed,160
"Florida","US",2020-03-16,Confirmed,155
"Louisiana","US",2020-03-16,Confirmed,136
"Georgia","US",2020-03-16,Confirmed,121
"Illinois","US",2020-03-16,Confirmed,105
"British Columbia","Canada",2020-03-16,Confirmed,103
"Texas","US",2020-03-16,Confirmed,85
"Pennsylvania","US",2020-03-16,Confirmed,77
"Alberta","Canada",2020-03-16,Confirmed,56
"Minnesota","US",2020-03-16,Confirmed,54
"Michigan","US",2020-03-16,Confirmed,53
"Tennessee","US",2020-03-16,Confirmed,52
"Quebec","Canada",2020-03-16,Confirmed,50
"Ohio","US",2020-03-16,Confirmed,50
"Virginia","US",2020-03-16,Confirmed,49
"Diamond Princess","US",2020-03-16,Confirmed,47
"Wisconsin","US",2020-03-16,Confirmed,47
"Nevada","US",2020-03-16,Confirmed,45
"Maryland","US",2020-03-16,Confirmed,41
"Oregon","US",2020-03-16,Confirmed,39
"Utah","US",2020-03-16,Confirmed,39
"North Carolina","US",2020-03-16,Confirmed,38
"South Carolina","US",2020-03-16,Confirmed,33
"Connecticut","US",2020-03-16,Confirmed,30
"Alabama","US",2020-03-16,Confirmed,29
"Indiana","US",2020-03-16,Confirmed,25
"Iowa","US",2020-03-16,Confirmed,23
"Arkansas","US",2020-03-16,Confirmed,22
"District of Columbia","US",2020-03-16,Confirmed,22
"Kentucky","US",2020-03-16,Confirmed,21
"Rhode Island","US",2020-03-16,Confirmed,21
"Arizona","US",2020-03-16,Confirmed,18
"Nebraska","US",2020-03-16,Confirmed,18
"Maine","US",2020-03-16,Confirmed,17
"New Hampshire","US",2020-03-16,Confirmed,17
"New Mexico","US",2020-03-16,Confirmed,17
"Mississippi","US",2020-03-16,Confirmed,13
"Vermont","US",2020-03-16,Confirmed,12
"Kansas","US",2020-03-16,Confirmed,11
"Oklahoma","US",2020-03-16,Confirmed,10
"South Dakota","US",2020-03-16,Confirmed,10
"Delaware","US",2020-03-16,Confirmed,8
"Manitoba","Canada",2020-03-16,Confirmed,7
"Saskatchewan","Canada",2020-03-16,Confirmed,7
"Hawaii","US",2020-03-16,Confirmed,7
"Montana","US",2020-03-16,Confirmed,7
"New Brunswick","Canada",2020-03-16,Confirmed,6
"Missouri","US",2020-03-16,Confirmed,6
"Nova Scotia","Canada",2020-03-16,Confirmed,5
"Idaho","US",2020-03-16,Confirmed,5
"Puerto Rico","US",2020-03-16,Confirmed,5
"Guam","US",2020-03-16,Confirmed,3
"Wyoming","US",2020-03-16,Confirmed,3
"Newfoundland and Labrador","Canada",2020-03-16,Confirmed,1
"Prince Edward Island","Canada",2020-03-16,Confirmed,1
"Alaska","US",2020-03-16,Confirmed,1
"North Dakota","US",2020-03-16,Confirmed,1
"Virgin Islands","US",2020-03-16,Confirmed,1
"West Virginia","US",2020-03-16,Confirmed,0
"New York","US",2020-03-17,Confirmed,1706
"Washington","US",2020-03-17,Confirmed,1076
"California","US",2020-03-17,Confirmed,698
"New Jersey","US",2020-03-17,Confirmed,267
"Massachusetts","US",2020-03-17,Confirmed,218
"Florida","US",2020-03-17,Confirmed,216
"Louisiana","US",2020-03-17,Confirmed,196
"Ontario","Canada",2020-03-17,Confirmed,185
"Illinois","US",2020-03-17,Confirmed,161
"Colorado","US",2020-03-17,Confirmed,160
"Georgia","US",2020-03-17,Confirmed,146
"Pennsylvania","US",2020-03-17,Confirmed,112
"Texas","US",2020-03-17,Confirmed,110
"British Columbia","Canada",2020-03-17,Confirmed,103
"Alberta","Canada",2020-03-17,Confirmed,74
"Quebec","Canada",2020-03-17,Confirmed,74
"Tennessee","US",2020-03-17,Confirmed,74
"Wisconsin","US",2020-03-17,Confirmed,72
"Connecticut","US",2020-03-17,Confirmed,68
"Ohio","US",2020-03-17,Confirmed,67
"Virginia","US",2020-03-17,Confirmed,67
"Oregon","US",2020-03-17,Confirmed,66
"Michigan","US",2020-03-17,Confirmed,65
"North Carolina","US",2020-03-17,Confirmed,64
"Maryland","US",2020-03-17,Confirmed,60
"Minnesota","US",2020-03-17,Confirmed,60
"Nevada","US",2020-03-17,Confirmed,56
"Utah","US",2020-03-17,Confirmed,51
"Diamond Princess","US",2020-03-17,Confirmed,47
"South Carolina","US",2020-03-17,Confirmed,47
"Alabama","US",2020-03-17,Confirmed,39
"Maine","US",2020-03-17,Confirmed,32
"Indiana","US",2020-03-17,Confirmed,30
"Kentucky","US",2020-03-17,Confirmed,26
"New Hampshire","US",2020-03-17,Confirmed,26
"Iowa","US",2020-03-17,Confirmed,23
"New Mexico","US",2020-03-17,Confirmed,23
"Rhode Island","US",2020-03-17,Confirmed,23
"Arkansas","US",2020-03-17,Confirmed,22
"District of Columbia","US",2020-03-17,Confirmed,22
"Mississippi","US",2020-03-17,Confirmed,21
"Nebraska","US",2020-03-17,Confirmed,21
"Arizona","US",2020-03-17,Confirmed,20
"Oklahoma","US",2020-03-17,Confirmed,19
"Kansas","US",2020-03-17,Confirmed,18
"Delaware","US",2020-03-17,Confirmed,16
"Vermont","US",2020-03-17,Confirmed,12
"Missouri","US",2020-03-17,Confirmed,11
"South Dakota","US",2020-03-17,Confirmed,11
"Wyoming","US",2020-03-17,Confirmed,11
